649.68,278.61,925.02,41.984,3198.4
646.77,284.45,926.8,42.889,3189.9
646.45,283.33,927.4,42.831,3190.7
654.58,275.86,929.55,42.376,3198.4
653.71,276.28,926.48,43.168,3198.9
652.19,281.36,930.67,43.163,3203.4
647.1,278.93,922.91,42.515,3176.4
648.63,279.19,925.86,43.148,3187.1
648.73,277.9,925.62,42.389,3186.4
646.99,277.16,921.79,43.274,3183.1
646.43,277,921.91,42.623,3178.3
646.18,276.95,920.05,42.082,3170.6
642.77,277.97,920.21,42.585,3174.9
648.17,277.01,924.19,42.687,3171.9
649.16,277.19,920.78,42.461,3176.4
646.82,278.16,921.11,41.68,3169.9
642.79,278.47,918.96,41.938,3168.1
642.56,278.28,916.83,42.822,3161.5
641.57,277.95,920.39,42.687,3169.1
640.39,278.55,914.38,41.562,3164.4
645.09,277.21,919.03,42.938,3169.6
642.99,277.84,917.28,42.016,3167.8
643.04,277.15,917.64,42.501,3164.8
643.63,276.84,918.19,42.135,3161.2
643.43,276.4,918.45,42.36,3163.7
643,275.87,917.9,42.009,3147.2
642.24,275.58,916.41,42.544,3158.5
648.34,276.7,922.01,42.768,3136.3
704.63,302.88,1002.3,44.575,3361.1
722.38,312.69,1030.5,45.792,3419
728.58,313.72,1035.9,46.063,3449.5
730.3,317.87,1041.7,46.399,3469.3
738.66,316.58,1048.8,46.931,3521.7
737.77,321.67,1052.5,47.239,3532.2
755.82,330.1,1079.5,48.415,3631.9
753.48,329.39,1076.1,48.959,3640.1
763.7,328.7,1085.9,47.853,3633.5
764.88,329.29,1087.3,48.344,3637.7
763.26,331.71,1089.6,48.606,3650.3
772,326.76,1091.5,49.28,3683.6
772.04,327.64,1092.7,49.09,3688.2
767.13,334.75,1094.5,49.43,3679.5
770.69,334,1095.4,49.414,3685.4
771.98,336.46,1100.6,49.422,3690.9
770.72,332.37,1094.6,49.138,3680.2
774.25,331.06,1099.4,49.307,3691.2
768.02,336.27,1096.4,50.115,3697.9
773.53,336.01,1102.7,49.657,3706.8
776.87,332.55,1103.4,49.661,3718.7
779.94,332.79,1105.4,49.858,3727.4
776.27,336.85,1106.3,49.556,3719.6
781.73,340.56,1115.8,49.389,3716.8
781.86,341.44,1117.1,50.414,3731.8
784.88,336.81,1114.2,49.333,3722.6
781.85,336.93,1112.1,50.358,3740.2
781.68,338.45,1112.5,50.398,3748.2
783.69,336.95,1114.2,49.695,3753.5
784.41,336.52,1113.8,49.601,3743.8
784.56,336.62,1113.8,49.521,3738.3
784.12,338.77,1116,50.214,3754
782.99,338.95,1115.4,50.096,3753.5
786.55,338.65,1117.5,50.344,3746.3
784.92,340.9,1118.5,50.567,3755
786.92,341.76,1122,50.556,3751.2
787.4,341.35,1123.9,49.914,3760.4
787.16,341,1123.3,50.345,3782.6
788.23,341.36,1123.2,50.723,3778.6
787.28,341.06,1122.2,50.772,3796.5
786.87,340.65,1119.9,51.178,3789.7
784.65,341.09,1120,50.297,3800.9
786.56,340.39,1120.7,50.849,3801.5
784.77,343.21,1120.8,50.969,3799.6
792.64,336.19,1123.1,51.225,3800.8
790.65,342.48,1126.2,50.714,3800.4
783.43,345.57,1122.4,51.03,3807.3
